Certification Course,Gender,Department,10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree,social media & video,Stress Level,Financial Status
No,Male,Library Science,37,51,80.80083855376863,Video Games,0 - 30 minute,Night,459103,Yes,Yes,30 - 60 minute,Good,Awful
No,Female,Music,86,68,93.76772360460026,Video Games,More Than 4 hour,Night,513350,Yes,No,2 - 3 hour,Good,Bad
Yes,Male,Economics,33,57,77.5372005936477,Cinema,0 - 30 minute,Anytime,714621,No,No,2 - 3 hour,Awful,good
Yes,Male,Accounting,95,80,95.94691157878249,Sports,2 - 3 hour,Night,766294,No,No,0 - 30 minute,Awful,Fabulous
No,Female,Sociology,19,78,29.990561180367948,Sports,0 - 30 minute,Night,401959,Yes,No,1 - 2 Hour,Awful,Awful
Yes,Male,Business Administration,93,86,8.106038144058175,Sports,3 - 4 hour,Night,644866,No,Yes,3 - 4 hour,fabulous,good
Yes,Male,Economics,67,59,61.24573897025054,Cinema,More Than 4 hour,Anytime,682244,Yes,Yes,More Than 4 hour,Good,Awful
No,Female,Pharmacy,24,77,62.06471147207626,Sports,3 - 4 hour,Night,638517,Yes,Yes,3 - 4 hour,Bad,good
No,Female,Sociology,92,92,2.8582941827958424,Reading books,0 - 30 minute,Night,332112,No,Yes,0 - 30 minute,Bad,Bad
No,Male,Civil Engineering,19,65,95.65152995150369,Video Games,1 - 2 Hour,Night,638900,Yes,No,2 - 3 hour,Awful,Bad
No,Female,Mechanical Engineering,77,73,69.04238447115499,Video Games,3 - 4 hour,Morning,666654,Yes,No,3 - 4 hour,Good,Bad
Yes,Female,Economics,63,53,13.101608699079245,Sports,1 - 2 Hour,Anytime,571712,Yes,Yes,2 - 3 hour,Bad,Awful
No,Male,History,48,75,43.025867484329645,Sports,More Than 4 hour,Anytime,428883,No,No,3 - 4 hour,fabulous,good
Yes,Male,Mathematics,50,82,55.16387425484626,Reading books,0 - 30 minute,Night,642017,No,Yes,0 - 30 minute,Good,Awful
No,Male,Business Administration,97,62,72.858365813065,Sports,2 - 3 hour,Night,656642,No,Yes,3 - 4 hour,Good,Bad
Yes,Female,Economics,47,63,69.44959802718894,Sports,3 - 4 hour,Morning,715019,No,Yes,More Than 4 hour,Awful,Awful
No,Male,Political Science,48,47,36.94225907451832,Sports,1 - 2 Hour,Anytime,420084,No,Yes,30 - 60 minute,Good,Fabulous
No,Male,Political Science,43,83,2.9590025944199,Sports,30 - 60 minute,Anytime,417422,Yes,Yes,0 - 30 minute,Bad,Awful
No,Male,Economics,84,62,33.95138234499464,Cinema,1 - 2 Hour,Morning,547091,Yes,Yes,More Than 4 hour,fabulous,Awful
No,Female,Biology,14,71,57.54205489430606,Cinema,3 - 4 hour,Morning,573934,Yes,Yes,1 - 2 Hour,fabulous,good
Yes,Female,Mechanical Engineering,33,79,65.45239422893577,Cinema,3 - 4 hour,Morning,753372,No,Yes,3 - 4 hour,Awful,Fabulous
Yes,Female,Electronics and Communication,7,57,17.366601935840023,Reading books,1 - 2 Hour,Morning,702288,Yes,Yes,2 - 3 hour,fabulous,Awful
No,Male,Architecture,66,54,46.52897218421862,Sports,1 - 2 Hour,Night,558176,No,No,30 - 60 minute,fabulous,Awful
Yes,Female,Mechanical Engineering,56,91,30.211480883185445,Video Games,30 - 60 minute,Anytime,649229,No,No,30 - 60 minute,Awful,good
Yes,Female,Law,54,47,72.34072141768246,Sports,0 - 30 minute,Night,814152,Yes,Yes,0 - 30 minute,Good,Awful
No,Male,Chemistry,18,70,39.795535873409655,Cinema,More Than 4 hour,Morning,519410,No,Yes,3 - 4 hour,Bad,Fabulous
Yes,Female,Environmental Science,93,66,69.26616333948327,Reading books,2 - 3 hour,Night,615654,No,Yes,3 - 4 hour,Bad,Bad
No,Female,Commerce,8,82,7.209605014144107,Reading books,2 - 3 hour,Night,369386,Yes,Yes,0 - 30 minute,Good,good
No,Male,Political Science,75,86,30.98777615358955,Video Games,0 - 30 minute,Night,394161,No,Yes,0 - 30 minute,Awful,Awful
No,Male,Commerce,43,81,31.173786872138045,Video Games,3 - 4 hour,Morning,443511,Yes,No,30 - 60 minute,Good,good
Yes,Male,Chemistry,52,60,10.682730805674803,Sports,0 - 30 minute,Morning,585146,Yes,Yes,More Than 4 hour,fabulous,good
Yes,Male,Environmental Science,42,62,93.76742013942527,Video Games,2 - 3 hour,Anytime,655122,Yes,No,0 - 30 minute,Bad,good
No,Male,Music,8,76,99.3787152411355,Video Games,30 - 60 minute,Night,494020,No,No,30 - 60 minute,Awful,good
No,Male,Fine Arts,33,74,67.00532647406474,Cinema,30 - 60 minute,Anytime,489808,No,No,1 - 2 Hour,Bad,Awful
Yes,Female,Physical Education,70,69,44.18488680338505,Reading books,30 - 60 minute,Morning,543951,No,No,30 - 60 minute,Bad,Fabulous
Yes,Male,Commerce,21,84,98.61446870516728,Sports,More Than 4 hour,Night,737040,Yes,No,3 - 4 hour,Awful,good
No,Female,Business Administration,66,80,2.0258778604907484,Cinema,More Than 4 hour,Morning,541899,No,Yes,More Than 4 hour,Good,Fabulous
No,Male,Physical Education,87,83,65.63283517002398,Reading books,More Than 4 hour,Night,428227,No,Yes,More Than 4 hour,Awful,Fabulous
No,Male,Political Science,59,75,74.95750819656125,Cinema,1 - 2 Hour,Anytime,535188,Yes,Yes,3 - 4 hour,Bad,Awful
Yes,Male,Biotechnology,9,90,59.683011791566564,Cinema,More Than 4 hour,Morning,692640,Yes,No,3 - 4 hour,Awful,Fabulous
No,Female,Chemistry,62,49,82.29678382827157,Video Games,0 - 30 minute,Night,559044,Yes,Yes,3 - 4 hour,fabulous,Bad
Yes,Male,Chemistry,37,66,47.97289130205656,Sports,3 - 4 hour,Anytime,583388,Yes,Yes,1 - 2 Hour,Bad,good
Yes,Female,Law,11,90,89.09514641990575,Cinema,More Than 4 hour,Anytime,773207,Yes,No,2 - 3 hour,Good,Fabulous
No,Male,Mathematics,86,86,83.82913658246832,Sports,2 - 3 hour,Night,556175,Yes,Yes,More Than 4 hour,fabulous,Bad
No,Female,Information Technology,76,74,79.46840778137272,Reading books,0 - 30 minute,Morning,727216,Yes,No,2 - 3 hour,Good,Awful
Yes,Male,Physics,64,90,56.31046128496851,Reading books,More Than 4 hour,Anytime,606339,Yes,No,1 - 2 Hour,fabulous,Bad
Yes,Female,Electrical Engineering,60,90,78.81007996218283,Sports,30 - 60 minute,Night,775324,Yes,Yes,1 - 2 Hour,fabulous,Awful
No,Female,Mechanical Engineering,21,61,93.39361731846063,Reading books,30 - 60 minute,Anytime,698685,Yes,No,1 - 2 Hour,Bad,good
No,Female,Biology,47,56,61.346342922933445,Reading books,More Than 4 hour,Night,529168,No,No,30 - 60 minute,Awful,Bad
No,Female,Commerce,37,67,45.300768743430226,Cinema,30 - 60 minute,Night,464363,Yes,Yes,30 - 60 minute,fabulous,Bad
No,Male,Dance,61,70,66.38373841763222,Reading books,3 - 4 hour,Morning,458338,No,No,1 - 2 Hour,Bad,good
Yes,Male,History,93,92,65.27183610691651,Reading books,1 - 2 Hour,Night,528208,Yes,Yes,0 - 30 minute,Good,good
Yes,Male,Commerce,68,79,37.21524059659067,Video Games,1 - 2 Hour,Night,556247,Yes,Yes,1 - 2 Hour,Good,Awful
No,Female,Biotechnology,30,64,91.2051950808626,Sports,1 - 2 Hour,Night,654957,Yes,No,30 - 60 minute,fabulous,good
Yes,Female,Political Science,10,69,90.42376055284821,Cinema,30 - 60 minute,Night,654566,No,Yes,30 - 60 minute,Awful,Awful
Yes,Female,Dance,57,59,9.673530348776573,Reading books,More Than 4 hour,Morning,389146,Yes,Yes,30 - 60 minute,Bad,Bad
Yes,Female,English Literature,74,48,81.33437102581044,Cinema,1 - 2 Hour,Night,624874,No,Yes,More Than 4 hour,Good,good
Yes,Male,Civil Engineering,13,59,1.1828053729757029,Sports,0 - 30 minute,Anytime,616960,No,Yes,More Than 4 hour,Good,Fabulous
Yes,Male,Environmental Science,89,59,26.86101113427639,Cinema,0 - 30 minute,Night,547696,Yes,Yes,0 - 30 minute,Good,Awful
Yes,Female,Sociology,28,66,12.746095770672309,Cinema,0 - 30 minute,Morning,531880,No,No,1 - 2 Hour,Bad,Bad
No,Male,Chemistry,92,72,52.137712340074636,Sports,30 - 60 minute,Anytime,498103,Yes,Yes,More Than 4 hour,Awful,Fabulous
Yes,Female,English Literature,21,47,40.27737572486461,Reading books,0 - 30 minute,Anytime,559369,Yes,Yes,30 - 60 minute,Bad,good
No,Female,Computer Science,54,62,45.10115387206937,Cinema,0 - 30 minute,Anytime,725002,No,No,30 - 60 minute,Bad,Fabulous
Yes,Female,Physics,78,53,89.53473368846727,Cinema,2 - 3 hour,Anytime,739647,No,Yes,More Than 4 hour,Awful,Fabulous
No,Female,Environmental Science,16,79,3.1157922920554215,Video Games,2 - 3 hour,Anytime,385298,No,Yes,3 - 4 hour,fabulous,Bad
No,Male,Civil Engineering,66,55,13.848673818974477,Sports,0 - 30 minute,Morning,458805,Yes,No,30 - 60 minute,fabulous,Awful
Yes,Male,Sociology,56,70,59.831831141027536,Video Games,1 - 2 Hour,Night,532707,Yes,No,0 - 30 minute,Bad,Fabulous
No,Female,Psychology,26,67,83.86032102569672,Sports,2 - 3 hour,Night,572923,No,Yes,2 - 3 hour,fabulous,Bad
No,Male,Economics,21,85,52.479235694861124,Reading books,2 - 3 hour,Night,513189,Yes,No,2 - 3 hour,fabulous,Awful
Yes,Female,Pharmacy,49,51,67.91835109459134,Sports,30 - 60 minute,Night,768716,Yes,Yes,30 - 60 minute,fabulous,Awful
No,Female,Commerce,31,56,29.668495417183713,Sports,30 - 60 minute,Morning,446177,Yes,Yes,2 - 3 hour,Good,Bad
No,Male,Political Science,15,61,64.87406661034193,Sports,3 - 4 hour,Night,517144,Yes,Yes,More Than 4 hour,fabulous,good
No,Female,History,58,93,28.291400815179216,Sports,30 - 60 minute,Anytime,377967,No,No,2 - 3 hour,fabulous,good
No,Female,Civil Engineering,58,67,13.74199588937433,Sports,2 - 3 hour,Night,467743,No,Yes,3 - 4 hour,fabulous,good
No,Female,Political Science,14,85,86.11264337038267,Sports,2 - 3 hour,Night,585706,No,Yes,3 - 4 hour,Bad,Fabulous
No,Male,Computer Science,30,90,52.13048388538696,Reading books,0 - 30 minute,Anytime,712295,Yes,Yes,30 - 60 minute,Good,Awful
No,Male,Economics,83,92,9.150611342898129,Reading books,More Than 4 hour,Night,420909,Yes,No,0 - 30 minute,Good,Bad
No,Female,Mathematics,95,78,20.24962808923942,Reading books,1 - 2 Hour,Morning,447109,No,Yes,30 - 60 minute,fabulous,Fabulous
No,Male,English Literature,94,70,99.71276067768271,Reading books,1 - 2 Hour,Anytime,531177,No,Yes,30 - 60 minute,Good,Bad
No,Male,Environmental Science,17,52,4.76834773238253,Video Games,1 - 2 Hour,Night,437243,Yes,Yes,3 - 4 hour,Good,Fabulous
Yes,Female,Civil Engineering,36,64,66.28297723797313,Reading books,30 - 60 minute,Night,730067,Yes,No,More Than 4 hour,Good,good
No,Female,Music,85,73,26.40849661901893,Sports,1 - 2 Hour,Morning,400223,Yes,Yes,1 - 2 Hour,fabulous,Awful
Yes,Male,Sociology,79,66,72.72324822745404,Sports,3 - 4 hour,Night,575348,No,No,0 - 30 minute,fabulous,Fabulous
No,Male,Economics,90,52,79.68298090146199,Reading books,30 - 60 minute,Night,646223,Yes,No,0 - 30 minute,Bad,good
No,Female,Pharmacy,70,50,66.89827608617867,Cinema,1 - 2 Hour,Night,638422,No,Yes,0 - 30 minute,Good,Awful
Yes,Male,Civil Engineering,70,46,44.00916221420017,Cinema,0 - 30 minute,Anytime,635355,No,Yes,30 - 60 minute,Awful,Awful
Yes,Female,Library Science,24,49,75.06622163169847,Video Games,1 - 2 Hour,Anytime,530853,No,Yes,1 - 2 Hour,Bad,Fabulous
Yes,Female,Fine Arts,57,64,68.49634101997324,Cinema,3 - 4 hour,Anytime,569465,No,Yes,30 - 60 minute,Bad,Fabulous
No,Male,Commerce,53,63,36.32143523477867,Cinema,30 - 60 minute,Morning,485137,No,No,3 - 4 hour,Awful,Awful
No,Female,Physics,97,86,64.35841767239557,Sports,0 - 30 minute,Anytime,547845,Yes,Yes,2 - 3 hour,Awful,Fabulous
Yes,Female,Economics,91,60,85.53466553792907,Reading books,1 - 2 Hour,Anytime,735858,No,Yes,30 - 60 minute,fabulous,Bad
Yes,Female,Agriculture,62,72,27.230532831927388,Sports,0 - 30 minute,Morning,571680,Yes,No,0 - 30 minute,Good,good
No,Female,English Literature,80,67,33.2098573850535,Sports,1 - 2 Hour,Anytime,393575,Yes,Yes,2 - 3 hour,Bad,good
No,Female,Physics,63,47,86.76912413939282,Cinema,3 - 4 hour,Night,586680,No,Yes,30 - 60 minute,Bad,Bad
Yes,Male,Electronics and Communication,76,81,81.34617059327697,Cinema,3 - 4 hour,Anytime,783780,Yes,Yes,3 - 4 hour,fabulous,Awful
No,Male,Psychology,32,50,84.81975772965745,Video Games,1 - 2 Hour,Anytime,540410,Yes,Yes,0 - 30 minute,Bad,Bad
Yes,Female,Library Science,14,82,24.42883505913361,Sports,2 - 3 hour,Night,456773,No,Yes,3 - 4 hour,Awful,Bad
No,Male,Biotechnology,74,58,67.2553238089269,Reading books,0 - 30 minute,Morning,598058,Yes,Yes,3 - 4 hour,Bad,Bad
No,Male,Pharmacy,13,76,43.19078158201102,Reading books,1 - 2 Hour,Anytime,548376,No,No,3 - 4 hour,Bad,Bad
No,Female,Accounting,31,90,76.6008488217321,Cinema,1 - 2 Hour,Night,675514,Yes,No,30 - 60 minute,Bad,Fabulous
Yes,Male,Civil Engineering,58,67,38.691020961575695,Sports,2 - 3 hour,Anytime,678912,No,Yes,2 - 3 hour,Good,good
Yes,Male,Accounting,18,77,57.02805622865314,Video Games,30 - 60 minute,Anytime,734531,No,No,More Than 4 hour,Awful,Awful
No,Female,English Literature,91,79,32.50457253864775,Video Games,More Than 4 hour,Anytime,431763,Yes,Yes,0 - 30 minute,Good,good
Yes,Female,Mechanical Engineering,97,85,99.61798366550606,Cinema,3 - 4 hour,Morning,810855,No,No,0 - 30 minute,Good,Bad
No,Female,Computer Science,43,82,86.83292566533554,Sports,1 - 2 Hour,Morning,758899,No,No,More Than 4 hour,fabulous,good
Yes,Male,Law,30,75,50.90042019327133,Video Games,3 - 4 hour,Night,724350,Yes,Yes,30 - 60 minute,Good,good
No,Male,Electronics and Communication,12,80,56.74663084970338,Reading books,More Than 4 hour,Night,677211,No,Yes,1 - 2 Hour,fabulous,Fabulous
No,Male,Political Science,64,75,46.99218376045829,Cinema,30 - 60 minute,Night,417297,No,Yes,1 - 2 Hour,Bad,Awful
No,Female,Fine Arts,52,55,27.710803784977223,Cinema,1 - 2 Hour,Night,368261,No,No,30 - 60 minute,fabulous,Awful
No,Female,Information Technology,96,89,64.42589300730423,Video Games,30 - 60 minute,Morning,677740,No,Yes,30 - 60 minute,fabulous,Fabulous
No,Male,Computer Science,70,72,21.490631476559617,Video Games,30 - 60 minute,Morning,621610,Yes,No,More Than 4 hour,fabulous,Bad
Yes,Male,Environmental Science,51,77,14.939857986639758,Video Games,More Than 4 hour,Morning,548357,No,No,More Than 4 hour,fabulous,Bad
Yes,Male,Dance,95,72,33.436367510113584,Cinema,More Than 4 hour,Morning,462852,Yes,Yes,3 - 4 hour,Good,Fabulous
No,Male,Biology,44,80,38.06414736432561,Cinema,3 - 4 hour,Morning,513835,Yes,No,2 - 3 hour,Awful,Bad
Yes,Female,Mathematics,55,72,8.491344478539597,Cinema,More Than 4 hour,Anytime,502730,Yes,Yes,2 - 3 hour,Bad,good
No,Male,Agriculture,44,82,87.77024277592666,Sports,More Than 4 hour,Anytime,627950,Yes,No,2 - 3 hour,Good,Bad
Yes,Female,Mechanical Engineering,88,55,49.515395513933164,Video Games,3 - 4 hour,Night,741914,Yes,Yes,2 - 3 hour,fabulous,Bad
No,Female,Political Science,32,65,13.718132424878728,Reading books,2 - 3 hour,Night,416184,Yes,Yes,1 - 2 Hour,Awful,Bad
No,Female,Music,27,77,42.878794870146315,Reading books,More Than 4 hour,Anytime,399395,No,No,2 - 3 hour,fabulous,good
Yes,Female,Sociology,18,50,25.94018351443001,Cinema,1 - 2 Hour,Morning,520560,Yes,Yes,30 - 60 minute,Bad,Bad
No,Female,Environmental Science,53,82,81.61821015714095,Cinema,More Than 4 hour,Morning,537867,Yes,No,2 - 3 hour,Bad,Bad
No,Male,Architecture,81,78,88.25844804834736,Reading books,More Than 4 hour,Night,652820,Yes,Yes,3 - 4 hour,Good,Awful
Yes,Female,Fine Arts,38,57,96.47442354031861,Cinema,3 - 4 hour,Anytime,611816,No,Yes,2 - 3 hour,Awful,Awful
No,Female,Fine Arts,94,62,17.276047392322216,Video Games,0 - 30 minute,Anytime,351233,Yes,Yes,0 - 30 minute,Bad,Awful
Yes,Female,Chemistry,61,71,1.3521518547288573,Reading books,More Than 4 hour,Morning,561973,No,Yes,2 - 3 hour,fabulous,Bad
No,Female,Accounting,28,66,46.1025540618918,Reading books,1 - 2 Hour,Morning,571591,Yes,No,0 - 30 minute,Good,good
Yes,Female,Economics,42,65,61.736867840800564,Video Games,2 - 3 hour,Night,680671,No,Yes,2 - 3 hour,Good,Bad
No,Male,Chemistry,73,85,62.64460672033559,Sports,1 - 2 Hour,Night,550589,No,Yes,More Than 4 hour,Good,good
No,Male,Sociology,56,82,28.716608638650396,Sports,More Than 4 hour,Morning,467227,Yes,Yes,30 - 60 minute,fabulous,Fabulous
Yes,Female,Biotechnology,19,70,72.63903094992264,Cinema,30 - 60 minute,Morning,696815,No,Yes,30 - 60 minute,Good,Awful
No,Female,History,55,62,40.300245255372474,Sports,More Than 4 hour,Anytime,427806,Yes,Yes,More Than 4 hour,fabulous,Bad
Yes,Female,History,29,47,68.27425900525328,Cinema,2 - 3 hour,Anytime,538088,Yes,No,2 - 3 hour,fabulous,Awful
No,Female,Environmental Science,39,70,73.29450449033216,Video Games,2 - 3 hour,Night,555559,No,Yes,1 - 2 Hour,Awful,Bad
Yes,Female,Biology,60,69,69.30570482541013,Cinema,More Than 4 hour,Anytime,610205,No,Yes,0 - 30 minute,Good,Awful
No,Male,Commerce,94,80,22.249368549425473,Reading books,2 - 3 hour,Morning,439333,No,No,30 - 60 minute,Bad,good
Yes,Female,Law,9,48,29.81352174848386,Reading books,3 - 4 hour,Night,689985,Yes,Yes,More Than 4 hour,fabulous,Bad
No,Female,Civil Engineering,21,88,31.690065273884315,Video Games,More Than 4 hour,Anytime,576586,No,Yes,2 - 3 hour,Awful,Fabulous
No,Female,Agriculture,44,71,92.71914162233011,Reading books,More Than 4 hour,Anytime,594668,Yes,Yes,1 - 2 Hour,fabulous,Fabulous
